id_contrat,code_regle,nom_regle,description,detail,score_risque,niveau,source,date_detection
BA000001,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000013,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000014,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000018,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000021,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000022,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000025,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000027,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
BA000027,R10,Rachats multiples,Plus de 2 rachats sur les 2 dernières années,3 rachats sur les 2 dernières années,0.65,MEDIUM,LC 18/9 — Question I44,2026-08-06
BA000041,R01,Rachat précoce,Rachat dans les 6 mois suivant la souscription,Rachat après 47 jours (< 180 jours),0.75,HIGH,Procédure AML section 5.2,2026-08-06
BA000041,R02,Perte acceptée,Rachat avec pénalités disproportionnées acceptées,Rachat avec pénalités acceptées détecté,0.8,HIGH,LC 18/9 — Question I45,2026-08-06
BA000041,R04,Tiers payeur,Paiement effectué par un tiers non justifié,Paiement par tiers détecté,0.65,MEDIUM,Procédure AML section 5.2,2026-08-06
